batch_size,pytorch_time_ms,cuda_time_ms,speedup,memory_allocated_mb,memory_reserved_mb,memory_peak_mb,occupancy,gpu_util,warp_efficiency,cache_hit_rate,global_mem_reads_gb,global_mem_writes_gb,total_instructions,arithmetic_instructions,memory_instructions,control_instructions,block_size,grid_size,registers_per_thread,theoretical_occupancy,using_real_metrics
32,22.890521717071532,2.2030591785907747,10.390334467417192,0.001953125,2.0,0.0029296875,0,0,0,0,1.28e-06,1.28e-07,5120,3840,0,320,256,1,32,75.0016,True
64,0.8999679923057556,0.4396735966205597,2.0469002442337514,0.0029296875,2.0,0.00390625,0,0,0,0,2.56e-06,2.56e-07,10240,7680,0,640,256,1,32,75.0032,True
128,0.7381824016571045,0.32984320521354676,2.237979712752279,0.005859375,2.0,0.0068359375,0,0,0,0,5.12e-06,5.12e-07,20480,15360,0,1280,256,1,32,75.0064,True
256,0.9628032088279724,1.5319679975509644,0.6284747529759953,0.01171875,2.0,0.013671875,0,0,0,0,1.024e-05,1.024e-06,40960,30720,0,2560,256,1,32,75.0128,True
512,0.9253759980201721,0.6385408103466034,1.449204158960291,0.0234375,2.0,0.02734375,0,0,0,0,2.048e-05,2.048e-06,81920,61440,0,5120,256,2,32,75.0256,True
1024,0.7932479858398438,0.6865472078323365,1.1554165202191966,0.046875,2.0,0.0546875,0,0,0,0,4.096e-05,4.096e-06,163840,122880,0,10240,256,4,32,75.0512,True
2048,1.0361087799072266,1.077395212650299,0.9616793983690429,0.09375,2.0,0.109375,0,0,0,0,8.192e-05,8.192e-06,327680,245760,0,20480,256,8,32,75.1024,True
4096,0.7414911985397339,0.4915840089321136,1.5083712754418173,0.1875,2.0,0.21875,0,0,0,0,0.00016384,1.6384e-05,655360,491520,0,40960,256,16,32,75.2048,True
8192,0.8886208057403564,1.5081024408340453,0.5892310639381441,0.375,2.0,0.4375,0,0,0,0,0.00032768,3.2768e-05,1310720,983040,0,81920,256,32,32,75.4096,True
16384,0.8178943991661072,1.461318415403366,0.559696224002176,0.75,2.0,0.875,0,0,0,0,0.00065536,6.5536e-05,2621440,1966080,0,163840,256,64,32,75.8192,True
32768,0.7861567974090576,1.516537570953369,0.5183892654336558,1.5,22.0,1.75,0,0,0,0,0.00131072,0.000131072,5242880,3932160,0,327680,256,128,32,76.6384,True
65536,1.073907208442688,1.4860031962394715,0.7226816275768133,3.0,22.0,3.5,0,0,0,0,0.00262144,0.000262144,10485760,7864320,0,655360,256,256,32,78.2768,True
131072,1.3671872019767761,1.3609536409378051,1.0045802890351765,6.0,24.0,7.0,0,0,0,0,0.00524288,0.000524288,20971520,15728640,0,1310720,256,512,32,81.5536,True
262144,2.2278400301933288,0.6671487987041473,3.339345037449858,12.0,36.0,14.0,0,0,0,0,0.01048576,0.001048576,41943040,31457280,0,2621440,256,1024,32,88.1072,True
